time,type,key,button,x,y
0.17996410000341712,key_release,Key.f5,,,
0.49974330000259215,key_press,char:8,,,
0.8382706999982474,mouse_press,,left,3035,1562
0.8758874999984982,mouse_move,,,3035,1562
0.8979443999996874,mouse_move,,,3027,1569
0.9210007000001497,mouse_move,,,2999,1573
0.9429620000009891,mouse_move,,,2880,1564
0.9659936000025482,mouse_move,,,2653,1521
0.9878680999972858,mouse_move,,,2377,1488
1.0108297999977367,mouse_move,,,2115,1464
1.0329541000028257,mouse_move,,,1819,1439
1.0558528000037768,mouse_move,,,1552,1422
1.0778375000008964,mouse_move,,,1329,1412
1.1009141000031377,mouse_move,,,1187,1406
1.1230216000039945,mouse_move,,,1104,1401
1.1469648999991477,mouse_move,,,1086,1399
1.182937800003856,mouse_move,,,1085,1399
1.2132610999979079,mouse_move,,,1080,1399
1.2362378999969224,mouse_move,,,1072,1397
1.258168200001819,mouse_move,,,1055,1397
1.2809445000020787,mouse_move,,,1023,1402
1.3029670000032638,mouse_move,,,993,1408
1.325865500002692,mouse_move,,,976,1411
1.3479326000015135,mouse_move,,,969,1411
1.3862126000021817,mouse_release,,left,968,1411
1.475877600001695,mouse_move,,,968,1411
1.5958853999982239,mouse_move,,,968,1411
1.6258471000037389,mouse_move,,,968,1411
1.6479136999987531,mouse_move,,,968,1410
1.6708348000029218,mouse_move,,,969,1403
1.69297319999896,mouse_move,,,970,1386
1.7158927999989828,mouse_move,,,966,1363
1.7378884999998263,mouse_move,,,959,1342
1.7609343000003719,mouse_move,,,954,1328
1.7832880999994813,mouse_move,,,950,1320
1.8059359000035329,mouse_move,,,948,1315
1.82791300000099,mouse_move,,,947,1311
1.8449474000008195,key_press,Key.tab,,,
1.8508824000018649,mouse_move,,,946,1308
1.873163399999612,mouse_move,,,945,1305
1.8959297999972478,mouse_move,,,945,1305
1.9419521000017994,key_release,Key.tab,,,
2.5479744999975082,mouse_move,,,944,1303
2.5709322999973665,mouse_move,,,937,1297
2.5928997000009986,mouse_move,,,922,1284
2.615994200001296,mouse_move,,,905,1266
2.637954099998751,mouse_move,,,892,1255
2.6608649999980116,mouse_move,,,887,1250
2.6829214000026695,mouse_move,,,886,1247
2.705908800002362,mouse_move,,,885,1246
2.727844200002437,mouse_move,,,884,1245
2.7512494000038714,mouse_move,,,883,1242
2.7729085000028135,mouse_move,,,882,1240
2.795862600003602,mouse_move,,,881,1239
3.492921099998057,mouse_move,,,881,1239
3.522095200001786,key_release,char:8,,,
3.543781799999124,key_press,char:e,,,
3.5667602000030456,key_release,char:e,,,
3.5861155000020517,key_press,char:e,,,
3.6077401000002283,key_release,char:e,,,
3.62922719999915,key_press,char:e,,,
3.6505297999974573,key_release,char:e,,,
3.6716701999976067,key_press,char:e,,,
3.6932760999989114,key_release,char:e,,,
3.715269799999078,key_press,char:e,,,
3.736127000003762,key_release,char:e,,,
3.75747859999683,key_press,char:e,,,
3.778068500003428,key_release,char:e,,,
5.052916799999366,mouse_move,,,880,1238
5.076009999997041,mouse_move,,,880,1238
5.097852899998543,mouse_move,,,878,1237
5.510946100002911,mouse_move,,,877,1234
5.532923899998423,mouse_move,,,881,1234
5.5566029000037815,mouse_move,,,884,1234
5.577865699997346,mouse_move,,,885,1233
5.6380280000012135,mouse_move,,,887,1232
5.675878499998362,mouse_move,,,887,1231
5.697932399998535,mouse_move,,,888,1230
5.7278214000034495,mouse_move,,,888,1229
5.750937900003919,mouse_move,,,889,1228
5.780955100002757,mouse_move,,,890,1226
5.802890500002832,mouse_move,,,891,1223
5.825882600001933,mouse_move,,,891,1219
5.847928800001682,mouse_move,,,891,1216
5.870963699999265,mouse_move,,,891,1212
5.892872900003567,mouse_move,,,891,1211
7.266964200003713,key_press,Key.f5,,,
